Emotions,Path
neutral,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-01-01-01.wav
neutral,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-01-02-01.wav
neutral,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-02-01-01.wav
neutral,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-02-02-01.wav
calm,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-01-01-01.wav
calm,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-01-02-01.wav
calm,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-02-01-01.wav
calm,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-02-02-01.wav
calm,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-01-01-01.wav
calm,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-01-02-01.wav
calm,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-02-01-01.wav
calm,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-02-02-01.wav
happy,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-01-01-01.wav
happy,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-01-02-01.wav
happy,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-02-01-01.wav
happy,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-02-02-01.wav
happy,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-01-01-01.wav
happy,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-01-02-01.wav
happy,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-02-01-01.wav
happy,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-02-02-01.wav
sad,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-01-01-01.wav
sad,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-01-02-01.wav
sad,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-02-01-01.wav
sad,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-02-02-01.wav
sad,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-02-01-01-01.wav
sad,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-02-01-02-01.wav
sad,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-02-02-01-01.wav
sad,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-02-02-02-01.wav
angry,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-01-01-01-01.wav
angry,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-01-01-02-01.wav
angry,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-01-02-01-01.wav
angry,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-01-02-02-01.wav
angry,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-02-01-01-01.wav
angry,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-02-01-02-01.wav
angry,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-02-02-01-01.wav
angry,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-02-02-02-01.wav
fearful,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-06-01-01-01-01.wav
fearful,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-06-01-01-02-01.wav
fearful,kaggle/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-06-01-02-01-01.wav
